ticker,start_date,end_date,sentiment_score
MSFT,2023-08-13,2023-08-19,0
GOOG,2023-08-13,2023-08-19,0
AMZN,2023-08-13,2023-08-19,0.95
TSLA,2023-08-13,2023-08-19,0
META,2023-08-13,2023-08-19,0
NVDA,2023-08-13,2023-08-19,-0.22
NFLX,2023-08-13,2023-08-19,0
PEP,2023-08-13,2023-08-19,0
ADBE,2023-08-13,2023-08-19,0
INTC,2023-08-13,2023-08-19,0
CSCO,2023-08-13,2023-08-19,0.23
CMCSA,2023-08-13,2023-08-19,0
AVGO,2023-08-13,2023-08-19,0
PYPL,2023-08-13,2023-08-19,-0.04
TXN,2023-08-13,2023-08-19,0
COST,2023-08-13,2023-08-19,0
QCOM,2023-08-13,2023-08-19,0
AMGN,2023-08-13,2023-08-19,-0.42
SBUX,2023-08-13,2023-08-19,0
AMD,2023-08-13,2023-08-19,0
HON,2023-08-13,2023-08-19,0
GILD,2023-08-13,2023-08-19,0
ISRG,2023-08-13,2023-08-19,0
BKNG,2023-08-13,2023-08-19,0
ADP,2023-08-13,2023-08-19,0
MDLZ,2023-08-13,2023-08-19,0.56
VRTX,2023-08-13,2023-08-19,0
REGN,2023-08-13,2023-08-19,0.42
LRCX,2023-08-13,2023-08-19,0
FISV,2023-08-13,2023-08-19,0
INTU,2023-08-13,2023-08-19,0
MRNA,2023-08-13,2023-08-19,0
MU,2023-08-13,2023-08-19,0.09
ZM,2023-08-13,2023-08-19,0.05
IDXX,2023-08-13,2023-08-19,0
ASML,2023-08-13,2023-08-19,0
ATVI,2023-08-13,2023-08-19,0
KHC,2023-08-13,2023-08-19,0
BIIB,2023-08-13,2023-08-19,0
MELI,2023-08-13,2023-08-19,0
DOCU,2023-08-13,2023-08-19,0
ADSK,2023-08-13,2023-08-19,0.0
EA,2023-08-13,2023-08-19,0
WDAY,2023-08-13,2023-08-19,0
SNPS,2023-08-13,2023-08-19,-0.05
ILMN,2023-08-13,2023-08-19,0
ROST,2023-08-13,2023-08-19,-0.08
CTAS,2023-08-13,2023-08-19,0.2
EBAY,2023-08-13,2023-08-19,0
KLAC,2023-08-13,2023-08-19,0
MNST,2023-08-13,2023-08-19,0
CDNS,2023-08-13,2023-08-19,0
CTSH,2023-08-13,2023-08-19,0
ORLY,2023-08-13,2023-08-19,0
DLTR,2023-08-13,2023-08-19,-0.07
LULU,2023-08-13,2023-08-19,0
FAST,2023-08-13,2023-08-19,0.34
XEL,2023-08-13,2023-08-19,0
CTXS,2023-08-13,2023-08-19,0
NXPI,2023-08-13,2023-08-19,0
PCAR,2023-08-13,2023-08-19,0.2
SIRI,2023-08-13,2023-08-19,0
MAR,2023-08-13,2023-08-19,0
SGEN,2023-08-13,2023-08-19,0
EXC,2023-08-13,2023-08-19,0
ODFL,2023-08-13,2023-08-19,0.63
PAYX,2023-08-13,2023-08-19,0
ALGN,2023-08-13,2023-08-19,0.13
SWKS,2023-08-13,2023-08-19,0
TEAM,2023-08-13,2023-08-19,0
WBA,2023-08-13,2023-08-19,0
ADI,2023-08-13,2023-08-19,0
VRSK,2023-08-13,2023-08-19,0
CDW,2023-08-13,2023-08-19,0
BIDU,2023-08-13,2023-08-19,-0.3
