ticker,start_date,end_date,sentiment_score
CPRT,2025-04-23,2025-04-29,0
UAL,2025-04-23,2025-04-29,0
TTWO,2025-04-23,2025-04-29,0
REG,2025-04-23,2025-04-29,0.28
HPE,2025-04-23,2025-04-29,0
EXPE,2025-04-23,2025-04-29,0.3
MCHP,2025-04-23,2025-04-29,0
VRSN,2025-04-23,2025-04-29,0.05
XLNX,2025-04-23,2025-04-29,0
BKNG,2025-04-23,2025-04-29,0.06
MXIM,2025-04-23,2025-04-29,0
PAYC,2025-04-23,2025-04-29,0
CTAS,2025-04-23,2025-04-29,0
TECH,2025-04-23,2025-04-29,0
WDAY,2025-04-23,2025-04-29,0
AAPL,2025-04-30,2025-05-06,0
MSFT,2025-04-30,2025-05-06,0
GOOG,2025-04-30,2025-05-06,0
AMZN,2025-04-30,2025-05-06,0.27
TSLA,2025-04-30,2025-05-06,0
META,2025-04-30,2025-05-06,0
NVDA,2025-04-30,2025-05-06,0
NFLX,2025-04-30,2025-05-06,0
PEP,2025-04-30,2025-05-06,0
ADBE,2025-04-30,2025-05-06,0
INTC,2025-04-30,2025-05-06,0
CSCO,2025-04-30,2025-05-06,0
CMCSA,2025-04-30,2025-05-06,0
AVGO,2025-04-30,2025-05-06,0.11
PYPL,2025-04-30,2025-05-06,0
TXN,2025-04-30,2025-05-06,0
COST,2025-04-30,2025-05-06,0
QCOM,2025-04-30,2025-05-06,0
AMGN,2025-04-30,2025-05-06,0.0
SBUX,2025-04-30,2025-05-06,0
AMD,2025-04-30,2025-05-06,0.44
HON,2025-04-30,2025-05-06,0
GILD,2025-04-30,2025-05-06,0
ISRG,2025-04-30,2025-05-06,0
BKNG,2025-04-30,2025-05-06,0
ADP,2025-04-30,2025-05-06,0
MDLZ,2025-04-30,2025-05-06,0
VRTX,2025-04-30,2025-05-06,0.45
REGN,2025-04-30,2025-05-06,0
LRCX,2025-04-30,2025-05-06,0
FISV,2025-04-30,2025-05-06,0
INTU,2025-04-30,2025-05-06,0
MRNA,2025-04-30,2025-05-06,0
MU,2025-04-30,2025-05-06,0
ZM,2025-04-30,2025-05-06,0
IDXX,2025-04-30,2025-05-06,0
ASML,2025-04-30,2025-05-06,0.86
ATVI,2025-04-30,2025-05-06,0
KHC,2025-04-30,2025-05-06,0
BIIB,2025-04-30,2025-05-06,0.31
MELI,2025-04-30,2025-05-06,0.46
DOCU,2025-04-30,2025-05-06,0
ADSK,2025-04-30,2025-05-06,0
EA,2025-04-30,2025-05-06,0.2
WDAY,2025-04-30,2025-05-06,0
SNPS,2025-04-30,2025-05-06,0
ILMN,2025-04-30,2025-05-06,0
ROST,2025-04-30,2025-05-06,0
CTAS,2025-04-30,2025-05-06,0
EBAY,2025-04-30,2025-05-06,0
KLAC,2025-04-30,2025-05-06,0
MNST,2025-04-30,2025-05-06,0.21
CDNS,2025-04-30,2025-05-06,0.21
CTSH,2025-04-30,2025-05-06,0
ORLY,2025-04-30,2025-05-06,0
DLTR,2025-04-30,2025-05-06,0.19
LULU,2025-04-30,2025-05-06,0
FAST,2025-04-30,2025-05-06,0
XEL,2025-04-30,2025-05-06,0
CTXS,2025-04-30,2025-05-06,0
NXPI,2025-04-30,2025-05-06,0
PCAR,2025-04-30,2025-05-06,0
SIRI,2025-04-30,2025-05-06,0.08
MAR,2025-04-30,2025-05-06,0.31
SGEN,2025-04-30,2025-05-06,0
EXC,2025-04-30,2025-05-06,0.6
ODFL,2025-04-30,2025-05-06,0
PAYX,2025-04-30,2025-05-06,0
ALGN,2025-04-30,2025-05-06,0
SWKS,2025-04-30,2025-05-06,0
TEAM,2025-04-30,2025-05-06,0
WBA,2025-04-30,2025-05-06,0.27
ADI,2025-04-30,2025-05-06,0
VRSK,2025-04-30,2025-05-06,0
CDW,2025-04-30,2025-05-06,0
BIDU,2025-04-30,2025-05-06,0.0
CHTR,2025-04-30,2025-05-06,0
VRSN,2025-04-30,2025-05-06,0
INCY,2025-04-30,2025-05-06,0
WDAY,2025-04-30,2025-05-06,0
ANSS,2025-04-30,2025-05-06,0
CPRT,2025-04-30,2025-05-06,0
UAL,2025-04-30,2025-05-06,0.11
TTWO,2025-04-30,2025-05-06,0
REG,2025-04-30,2025-05-06,0
HPE,2025-04-30,2025-05-06,0.32
EXPE,2025-04-30,2025-05-06,0
MCHP,2025-04-30,2025-05-06,0
VRSN,2025-04-30,2025-05-06,0
XLNX,2025-04-30,2025-05-06,0
BKNG,2025-04-30,2025-05-06,-0.4
MXIM,2025-04-30,2025-05-06,0
PAYC,2025-04-30,2025-05-06,0.59
CTAS,2025-04-30,2025-05-06,0
TECH,2025-04-30,2025-05-06,0
WDAY,2025-04-30,2025-05-06,0
AAPL,2025-05-07,2025-05-13,0
MSFT,2025-05-07,2025-05-13,0
GOOG,2025-05-07,2025-05-13,0.27
AMZN,2025-05-07,2025-05-13,0.19
TSLA,2025-05-07,2025-05-13,0
META,2025-05-07,2025-05-13,0
NVDA,2025-05-07,2025-05-13,0
NFLX,2025-05-07,2025-05-13,0
PEP,2025-05-07,2025-05-13,0
ADBE,2025-05-07,2025-05-13,0
INTC,2025-05-07,2025-05-13,0
CSCO,2025-05-07,2025-05-13,0
CMCSA,2025-05-07,2025-05-13,0
AVGO,2025-05-07,2025-05-13,0.34
PYPL,2025-05-07,2025-05-13,0
TXN,2025-05-07,2025-05-13,0
COST,2025-05-07,2025-05-13,0
QCOM,2025-05-07,2025-05-13,0
AMGN,2025-05-07,2025-05-13,0.19
SBUX,2025-05-07,2025-05-13,0
AMD,2025-05-07,2025-05-13,0.19
HON,2025-05-07,2025-05-13,0
GILD,2025-05-07,2025-05-13,0
